# d1 d2 d3 d4
5.091686410794147951e-06 -5.054965236580694856e-06 1.977568532286375861e-05 7.113157283930530154e-06
-5.054965236580696550e-06 3.385387762883264708e-05 -3.628872251241548562e-05 1.161971555158596223e-05
1.977568532286375861e-05 -3.628872251241548562e-05 1.167422081892208283e-04 -1.291241427768247757e-05
7.113157283930528460e-06 1.161971555158596393e-05 -1.291241427768247927e-05 8.104446605075985206e-05
